                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6935,                 3.3594,                 1.7313,                 1.5325,                 5.2596,                 1.5744,                0.00871,                0.52337,                0.14998,                0.07581,                 1.5172,                  3.684,                 1.5859,                 1.3186,                  6.896,                 1.4415,             0.00015719,             0.00015719,             0.00015719
                      2,                 1.5632,                 2.2918,                 1.5639,                 1.3959,                 4.2033,                 1.4211,                0.00805,                0.60418,                0.13192,                0.07048,                 1.6292,                 3.5965,                 1.7109,                 1.3475,                 6.8178,                 1.4762,             0.00032216,             0.00032216,             0.00032216
                      3,                 1.5877,                 1.7461,                 1.5476,                 1.3588,                 3.8517,                 1.3828,                0.00859,                0.66719,                0.18874,                0.09463,                 1.6397,                 3.2001,                 1.7772,                 1.3421,                 6.6696,                 1.4635,             0.00048034,             0.00048034,             0.00048034
                      4,                 1.5805,                 1.6392,                 1.5294,                 1.3963,                 3.6841,                  1.392,                 0.0071,                0.71303,                0.11604,                0.04803,                 1.8071,                 3.3375,                 1.8752,                  1.493,                 6.7568,                 1.6591,             0.00063174,             0.00063174,             0.00063174
                      5,                 1.5867,                 1.5966,                 1.5208,                 1.4669,                 3.3855,                 1.4155,                0.00782,                0.79461,                0.19563,                0.08374,                  1.749,                 2.9804,                 1.8365,                 1.4344,                  6.461,                 1.6324,             0.00077634,             0.00077634,             0.00077634
                      6,                 1.5805,                 1.5483,                 1.5126,                 1.4863,                 3.0795,                  1.417,                0.91234,                0.03149,                0.21795,                0.08857,                 1.9828,                 2.9355,                  2.072,                 1.6233,                  6.279,                 1.7544,             0.00091415,             0.00091415,             0.00091415
                      7,                 1.6112,                 1.5575,                 1.5325,                 1.5757,                 2.9047,                 1.4673,                0.76738,                0.06953,                0.21307,                0.07746,                 2.2011,                 2.8813,                 2.4574,                 1.8409,                 5.9409,                  2.047,              0.0010452,              0.0010452,              0.0010452
                      8,                 1.6035,                 1.5481,                  1.528,                 1.5721,                 2.6351,                 1.4693,                0.84066,                0.13711,                0.29312,                0.12125,                 1.9539,                 2.5761,                 1.9615,                 1.7092,                 5.2269,                 1.7507,              0.0011694,              0.0011694,              0.0011694
                      9,                 1.6153,                 1.5391,                 1.5453,                 1.5872,                 2.5179,                 1.4834,                0.59331,                0.09719,                0.11611,                0.04601,                 2.4255,                 3.3191,                 2.5726,                 2.0882,                  5.297,                 2.2731,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.6205,                 1.4909,                 1.5335,                 1.5951,                 2.2713,                 1.4772,                0.64294,                0.22859,                0.22834,                0.08585,                 2.2098,                 2.7741,                 2.4205,                 1.9387,                 4.5456,                  2.109,              0.0012026,              0.0012026,              0.0012026
                     11,                  1.645,                 1.4649,                  1.541,                 1.6261,                 2.1402,                 1.4724,                0.53016,                0.17143,                0.12922,                0.04558,                 2.3871,                  3.638,                 2.8926,                 2.0806,                 4.4489,                 2.3936,              0.0011744,              0.0011744,              0.0011744
